taxi_id,latitude,longitude
4abboip,37.75134,-122.39488
4abcoij,37.77851,-122.39635
4abdremlu,37.61625,-122.38587
4abgibo,37.7638,-122.39769
4abjoolaw,37.76943,-122.42457
4abmuyawm,37.78127,-122.39581
4abniar,37.80246,-122.40186
4abnovkak,37.7514,-122.39529
4abtyff,37.78506,-122.40026
4abwecnij,37.79163,-122.3923
4abyalwif,37.79837,-122.40248
4acdiyito,37.75264,-122.40308
4acduou,37.78609,-122.41116
4acgerl,37.70724,-122.39461
4acitva,37.72931,-122.40361
4ackgrica,37.39555,-122.01205
4acpegho,37.79711,-122.42195
4acvebr,37.75101,-122.41834
4adkavy,37.61549,-122.38821
4adnerst,37.76987,-122.39762
4adpaifo,37.79021,-122.39422
4aducrisi,37.61688,-122.38802
4afmorc,37.78674,-122.40983
4afpansh,37.78417,-122.40804
4afsfat,37.73064,-122.3925
4afweka,37.75139,-122.39424
4agcowktu,37.7513,-122.39463
4agdrea,37.61574,-122.3881
4aggjuo,37.79439,-122.40097
4agivle,37.75159,-122.39517
4agjitfa,37.61639,-122.38594
4agsuec,37.78825,-122.41837
4agvexpia,37.66506,-122.39734
4agyamker,37.68752,-122.39037
4aichash,37.79614,-122.42184
4ailbcuv,37.74481,-122.39503
4aimidd,37.61639,-122.38604
4ainplin,37.7857,-122.4219
4aitpygg,37.79265,-122.40358
4aivtytan,37.75171,-122.39438
4aiwalb,37.61632,-122.38606
4ajixdo,37.7516,-122.39419
4ajsips,37.61806,-122.38619
4ajsnedsi,37.67842,-122.3885
4ajthof,37.75165,-122.39498
4ajtreo,37.78466,-122.42335
4akgicjud,37.7802,-122.41904
4akvutvo,37.79676,-122.4516
4akyeerbi,37.78656,-122.45269
4aldhidd,37.75129,-122.39493
4alnihi,37.76655,-122.43556
4alsheth,37.77541,-122.42106
4amciuca,37.62053,-122.4002
4amknywr,37.61513,-122.38948
4amnurgji,37.79451,-122.39746
4amvefarl,37.78425,-122.41061
4amwibs,37.61649,-122.38603
4ancedvab,37.78371,-122.40257
4ancorjo,37.65938,-122.45496
4ancyclsu,37.67808,-122.38842
4andyol,37.79173,-122.39622
4aniajcr,37.71996,-122.46983
4anidgib,37.65256,-122.45281
4ankped,37.79355,-122.3965
4ansyut,37.75127,-122.39493
4anucks,37.78037,-122.39446
4anupwr,37.61625,-122.38618
4apigcyd,37.68655,-122.39016
4appsri,37.75168,-122.3952
4apsskyul,37.78692,-122.41124
4aquawaw,37.79256,-122.40075
4arcksy,37.77661,-122.39535
4arcuim,37.61817,-122.3995
4arcurbig,37.79184,-122.41087
4arhilby,37.74938,-122.40292
4arlwras,37.78505,-122.39993
4arphaud,37.61556,-122.38918
4artgagvu,37.80643,-122.40509
4ascley,37.80619,-122.41708
4ashgati,37.75159,-122.39527
4asigno,37.79582,-122.39699
4askmecle,37.61568,-122.38814
4aslagni,37.61346,-122.39542
4aswift,37.64525,-122.41413
4atcilav,37.61398,-122.39536
4atfrav,37.618,-122.38618
4atfrim,37.79506,-122.4302
4atidfi,37.69538,-122.39187
4atnokvo,37.61637,-122.38612
4atsfiv,37.58698,-122.34644
4atzumbon,37.75147,-122.395
4aucjun,37.5945,-122.36774
4auctjir,37.79152,-122.39252
4aupclik,37.75139,-122.39489
4aurjyen,37.79214,-122.4108
4avdyab,37.8235,-122.26545
4avglybic,37.78243,-122.41231
4aviltly,37.72692,-122.39193
4avpavi,37.75618,-122.4765
4awnbeb,37.7792,-122.49652
4awrenba,37.78385,-122.42105
4awribig,37.75143,-122.39515
4aydwaho,37.7515,-122.39427
4ayfsdu,37.61468,-122.39276
4aygpha,37.72382,-122.43292
4aypudby,37.78256,-122.42242
4ayquasto,37.75202,-122.39377
4ayquexar,37.79117,-122.41586
