taxi_id,latitude,longitude
abboip,37.75134,-122.39488
abcoij,37.77851,-122.39635
abdremlu,37.61625,-122.38587
abgibo,37.7638,-122.39769
abjoolaw,37.76943,-122.42457
abmuyawm,37.78127,-122.39581
abniar,37.80246,-122.40186
abnovkak,37.7514,-122.39529
abtyff,37.78506,-122.40026
abwecnij,37.79163,-122.3923
abyalwif,37.79837,-122.40248
acdiyito,37.75264,-122.40308
acduou,37.78609,-122.41116
acgerl,37.70724,-122.39461
acitva,37.72931,-122.40361
ackgrica,37.39555,-122.01205
acpegho,37.79711,-122.42195
acvebr,37.75101,-122.41834
adkavy,37.61549,-122.38821
adnerst,37.76987,-122.39762
adpaifo,37.79021,-122.39422
aducrisi,37.61688,-122.38802
afmorc,37.78674,-122.40983
afpansh,37.78417,-122.40804
afsfat,37.73064,-122.3925
afweka,37.75139,-122.39424
agcowktu,37.7513,-122.39463
agdrea,37.61574,-122.3881
aggjuo,37.79439,-122.40097
agivle,37.75159,-122.39517
agjitfa,37.61639,-122.38594
agsuec,37.78825,-122.41837
agvexpia,37.66506,-122.39734
agyamker,37.68752,-122.39037
aichash,37.79614,-122.42184
ailbcuv,37.74481,-122.39503
aimidd,37.61639,-122.38604
ainplin,37.7857,-122.4219
aitpygg,37.79265,-122.40358
aivtytan,37.75171,-122.39438
aiwalb,37.61632,-122.38606
ajixdo,37.7516,-122.39419
ajsips,37.61806,-122.38619
ajsnedsi,37.67842,-122.3885
ajthof,37.75165,-122.39498
ajtreo,37.78466,-122.42335
akgicjud,37.7802,-122.41904
akvutvo,37.79676,-122.4516
akyeerbi,37.78656,-122.45269
aldhidd,37.75129,-122.39493
alnihi,37.76655,-122.43556
alsheth,37.77541,-122.42106
amciuca,37.62053,-122.4002
amknywr,37.61513,-122.38948
amnurgji,37.79451,-122.39746
amvefarl,37.78425,-122.41061
amwibs,37.61649,-122.38603
ancedvab,37.78371,-122.40257
ancorjo,37.65938,-122.45496
ancyclsu,37.67808,-122.38842
andyol,37.79173,-122.39622
aniajcr,37.71996,-122.46983
anidgib,37.65256,-122.45281
ankped,37.79355,-122.3965
ansyut,37.75127,-122.39493
anucks,37.78037,-122.39446
anupwr,37.61625,-122.38618
apigcyd,37.68655,-122.39016
appsri,37.75168,-122.3952
apsskyul,37.78692,-122.41124
aquawaw,37.79256,-122.40075
arcksy,37.77661,-122.39535
arcuim,37.61817,-122.3995
arcurbig,37.79184,-122.41087
arhilby,37.74938,-122.40292
arlwras,37.78505,-122.39993
arphaud,37.61556,-122.38918
artgagvu,37.80643,-122.40509
ascley,37.80619,-122.41708
ashgati,37.75159,-122.39527
asigno,37.79582,-122.39699
askmecle,37.61568,-122.38814
aslagni,37.61346,-122.39542
aswift,37.64525,-122.41413
atcilav,37.61398,-122.39536
atfrav,37.618,-122.38618
atfrim,37.79506,-122.4302
atidfi,37.69538,-122.39187
atnokvo,37.61637,-122.38612
atsfiv,37.58698,-122.34644
atzumbon,37.75147,-122.395
aucjun,37.5945,-122.36774
auctjir,37.79152,-122.39252
aupclik,37.75139,-122.39489
aurjyen,37.79214,-122.4108
avdyab,37.8235,-122.26545
avglybic,37.78243,-122.41231
aviltly,37.72692,-122.39193
avpavi,37.75618,-122.4765
awnbeb,37.7792,-122.49652
awrenba,37.78385,-122.42105
awribig,37.75143,-122.39515
aydwaho,37.7515,-122.39427
ayfsdu,37.61468,-122.39276
aygpha,37.72382,-122.43292
aypudby,37.78256,-122.42242
ayquasto,37.75202,-122.39377
ayquexar,37.79117,-122.41586
ayshekki,37.66635,-122.42869
ayshowg,37.61564,-122.38822
aysmsla,37.47691,-122.16905
eacderph,37.72957,-122.40352
eadectio,37.75544,-122.40315
eagbaci,37.71379,-122.43603
eapceou,37.78468,-122.40082
easnsvu,37.6165,-122.38611
eavcaifo,37.62502,-122.40086
eavflid,37.79475,-122.42666
ebcicy,37.79655,-122.40067
ebdafya,37.80665,-122.4204
ebenfrag,37.78104,-122.4588
ebrulra,37.75174,-122.39413
ebstic,37.79972,-122.40946
eccest,37.77871,-122.41024
ecdiwovu,37.61645,-122.38619
ecfesy,37.72064,-122.40015
ecforj,37.75139,-122.395
ecgojtyt,37.79549,-122.40333
ecjeody,37.79246,-122.40274
eckecky,37.75156,-122.39389
ecnoplsi,37.69649,-122.39224
eddreba,37.78817,-122.4337
edeejdru,37.79227,-122.40989
edglevi,37.76491,-122.40166
edgrat,37.80302,-122.4019
edjiye,37.78953,-122.40828
edlyxy,37.59901,-122.37464
edmugrip,37.70127,-122.39354
ednillo,37.79896,-122.40107
edodblea,37.80729,-122.40698
edomboys,37.61635,-122.38618
edrafs,37.75141,-122.39543
eedigkr,37.7514,-122.39479
eefayb,37.80003,-122.40008
eegcef,37.75129,-122.39411
eemafbij,37.68444,-122.47255
eenjoug,37.74536,-122.40502
eersdo,37.7961,-122.42182
eesbaj,37.42953,-122.25449
efcati,37.76355,-122.47619
effneomi,37.80647,-122.41469
efghakdi,37.75177,-122.39502
efgoaku,37.81126,-122.26674
efmymo,37.75171,-122.39502
efonve,37.73714,-122.40474
efspheco,37.78513,-122.41659
eggfrij,37.69315,-122.39146
eghanwib,37.78125,-122.46188
eglohabs,37.75142,-122.39501
egnatab,37.75878,-122.41067
egoiwroi,37.75128,-122.39502
egreosko,37.77278,-122.41249
egteir,37.75135,-122.39526
egwicjuv,37.61656,-122.38624
eiboidne,37.61522,-122.39017
eicmynts,37.79286,-122.39747
eifvid,37.79461,-122.41737
eincufpy,37.75162,-122.39405
eitpem,37.75152,-122.39498
ejcrur,37.78778,-122.42706
ejesbay,37.78878,-122.44243
ejkipub,37.7506,-122.3934
ejnoax,37.59875,-122.38725
