Discharger,Discharger_Name,Street,City,State,Zip,latitude,longitude
P204001070,Walgreen's,300 MONTGOMERY ST,SAN FRANCISCO,CA,94104,37.792037,-122.402495
P204001066,The Occidental Grill Cigar Club,471 PINE ST,SAN FRANCISCO,CA,94104,37.791778,-122.403544
P204001065,Starbucks Coffee Company,343 SANSOME ST,SAN FRANCISCO,CA,94104,37.793587,-122.401137
P204001064,Starbucks Coffee Co,369 PINE ST,SAN FRANCISCO,CA,94104,37.791957,-122.40212
P204001063,Starbucks Coffee,555 CALIFORNIA ST,SAN FRANCISCO,CA,94104,37.792798,-122.403492
P204001054,Sandwich Gourmet,530 CALIFORNIA ST,SAN FRANCISCO,CA,94104,37.792861,-122.403207
P204001051,OMNI SF Bob Steak Chop House,500 CALIFORNIA ST,SAN FRANCISCO,CA,94104,37.792919,-122.40283
P204001033,Mandarin Oriental -SILK Restaurant,222 SANSOME ST,SAN FRANCISCO,CA,94104,37.792416,-122.400902
P204001045,Neiman's Cafe,580 CALIFORNIA ST,SAN FRANCISCO,CA,94104,37.792737,-122.404035
P204001043,Murphy's Exchange,451 PINE ST,SAN FRANCISCO,CA,94104,37.791811,-122.403281
P204001042,Mrs. Field Original Cookies Pine St,493 PINE ST,SAN FRANCISCO,CA,94104,37.791707,-122.404041
P204001041,Montgomery Plaza Shop,456 MONTGOMERY ST,SAN FRANCISCO,CA,94104,37.793422,-122.402786
P204001040,Subway (Montgomery),408 MONTGOMERY ST,SAN FRANCISCO,CA,94104,37.793088,-122.40272
P204001024,Krivaar Cafe,475 PINE ST,SAN FRANCISCO,CA,94104,37.791771,-122.403596
P204001015,OMNI SF Hotel Food & Beverage Storeroom,500 CALIFORNIA ST,SAN FRANCISCO,CA,94104,37.792919,-122.40283
P204001013,Fadala Express,50 LEIDESDORFF ST,SAN FRANCISCO,CA,94104,37.792513,-122.401871
P204001010,OMINI SF Hotel  (Employee Cafeteria),500 CALIFORNIA ST,SAN FRANCISCO,CA,94104,37.792919,-122.40283
P204001007,Carnelian Room/Bankers Club,555 CALIFORNIA ST,SAN FRANCISCO,CA,94104,37.792798,-122.403492
P204001004,Krivaar Cafe & Catering,475 PINE ST,SAN FRANCISCO,CA,94104,37.791771,-122.403596
